,People,Female,Median age,Renter households where rent payments are less than or equal to 30% of household income (b),Average number of people per household,Median weekly household income,Median monthly mortgage repayments,Median weekly rent (b),Average number of motor vehicles per dwelling,Married,Separated,Divorced,Widowed,Never married,Bachelor Degree level and above,Advanced Diploma and Diploma level,Certificate level IV,Certificate level III,Year 12,Year 11,Year 10,Certificate level II,Certificate level I,Year 9 or below,No educational attainment,Both parents born overseas,Father only born overseas,Mother only born overseas,Both parents born in Australia,In the labour force,Not in the labour force,Worked full-time,Worked part-time,Unemployed,Personal (b),Family (c),Household (d),SA1 Code,Area sqkm,Region,State,SA4_NAME_2016,Density
339,244.0,44.4%,59,6.0,2,$749,$867,$140,1.9,43.3,5.8,14.3,5.4,32.1,16.1,12.1,2.2,21.4,8.0,5.4,8.0,0.0,0.0,8.5,0.0,18.8,7.3,1.6,64.1,47.8,42.9,34.6,46.7,11.2,$432,"$1,028",$749,10104102032,212.3649,Rest of NSW,New South Wales,Capital Region,1.1489657659999368
340,220.0,54.9%,44,11.0,2.4,"$1,390","$1,647",$333,1.9,38.2,3.9,14.0,5.6,41.0,27.0,15.2,3.9,15.2,16.3,2.2,16.3,0.0,0.0,5.6,0.0,12.1,8.1,2.2,73.5,64.0,34.8,49.1,42.1,3.5,$739,"$1,875","$1,390",10104102102,0.3333,Rest of NSW,New South Wales,Capital Region,660.0660066006601
341,756.0,57.3%,55,34.0,2.1,"$1,206","$1,733",$390,1.5,49.7,2.6,7.9,16.7,22.3,26.3,9.7,3.4,13.7,12.5,3.4,10.1,0.0,0.0,8.3,0.0,15.4,6.1,5.9,66.4,42.1,53.4,51.9,35.9,4.1,$699,"$1,517","$1,206",10104102104,1.2967,Rest of NSW,New South Wales,Capital Region,583.0184314027917
342,600.0,49.4%,52,21.0,2.4,"$1,486","$1,788",$400,2,56.1,4.6,9.2,4.0,25.3,21.4,11.0,5.0,16.8,11.6,1.2,12.6,0.0,0.0,6.8,0.0,18.7,5.9,5.7,64.5,49.3,45.1,45.9,40.7,4.1,$765,"$1,875","$1,486",10104102105,1.573,Rest of NSW,New South Wales,Capital Region,381.43674507310874
343,638.0,51.3%,57,35.0,2.1,"$1,005","$1,419",$290,1.7,43.3,5.2,13.7,7.4,30.6,11.9,8.8,4.3,18.3,9.2,4.7,16.7,0.0,0.0,10.3,0.0,14.3,6.0,4.1,67.3,41.2,51.6,48.9,38.0,3.1,$620,"$1,430","$1,005",10104102106,2.3074,Rest of NSW,New South Wales,Capital Region,276.5016902140938
344,608.0,49.9%,54,26.0,2.4,"$1,759","$1,733",$340,2.1,54.0,4.1,12.2,3.9,26.2,32.5,8.3,3.9,14.2,11.8,3.9,7.0,0.6,0.0,6.8,0.0,14.4,8.3,6.0,67.1,56.7,41.2,48.2,42.7,2.6,$831,"$2,067","$1,759",10104102107,2.3202,Rest of NSW,New South Wales,Capital Region,262.04637531247306
345,464.0,46.3%,47,21.0,2.4,"$1,591","$1,916",$378,2.1,52.2,2.6,10.2,6.0,28.3,31.0,11.0,1.6,12.3,11.8,5.2,7.1,0.0,0.0,4.7,0.0,15.1,9.1,6.2,59.4,55.4,36.2,54.0,35.1,3.3,$820,"$1,944","$1,591",10104102108,1.1091,Rest of NSW,New South Wales,Capital Region,418.35722658011
346,454.0,53.4%,48,22.0,2.4,"$1,416","$1,937",$370,1.8,50.5,1.9,13.2,5.6,28.8,29.4,9.0,4.0,16.1,13.0,3.4,10.6,0.8,0.0,9.3,0.0,13.2,7.9,3.1,73.6,53.2,43.1,45.3,41.3,4.5,$787,"$1,781","$1,416",10104102110,0.6812,Rest of NSW,New South Wales,Capital Region,666.4709336465062
347,54.0,41.7%,50,,2.9,"$1,999",$0,$200,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10104102111,14.612,Rest of NSW,New South Wales,Capital Region,3.695592663564194
348,43.0,39.0%,59,,2.4,$875,$758,$0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10104102201,2781.9988,Rest of NSW,New South Wales,Capital Region,0.015456512777791278
349,368.0,50.7%,56,27.0,1.9,$905,"$1,350",$260,1.5,39.9,4.3,10.8,7.7,34.7,13.0,8.4,2.8,13.6,10.8,6.8,14.2,0.0,0.0,11.1,0.0,15.0,7.4,2.5,67.0,45.5,45.5,47.6,40.1,6.1,$606,"$1,302",$905,10104102301,0.5394,Rest of NSW,New South Wales,Capital Region,682.239525398591
350,401.0,50.9%,53,15.0,2.3,"$1,305","$1,498",$380,1.8,48.1,4.6,10.7,8.1,28.4,17.7,8.1,7.2,18.8,9.0,6.7,15.4,0.0,0.0,9.0,0.0,14.8,5.8,4.0,72.2,52.8,43.8,44.5,44.0,7.1,$614,"$1,455","$1,305",10104102302,0.8903,Rest of NSW,New South Wales,Capital Region,450.40997416601147
351,418.0,48.0%,47,5.0,2.7,"$1,524","$2,159",$420,2.1,61.6,1.8,8.8,3.8,26.4,14.4,10.3,2.6,17.9,8.5,5.0,18.2,0.0,0.0,9.4,1.2,15.1,5.7,3.1,67.9,51.9,42.5,54.2,29.9,0.0,$731,"$1,762","$1,524",10104102303,3.24,Rest of NSW,New South Wales,Capital Region,129.01234567901233
352,195.0,52.5%,57,4.0,2.1,"$1,171","$1,517",$270,2,55.6,6.5,11.2,8.9,20.1,14.8,5.3,5.9,15.4,10.1,1.8,17.8,0.0,0.0,10.7,0.0,10.9,7.8,2.1,69.4,52.1,40.8,48.9,36.4,6.8,$632,"$1,525","$1,171",10104102304,86.6528,Rest of NSW,New South Wales,Capital Region,2.2503600576092175
353,479.0,54.5%,55,26.0,2,$850,"$1,517",$275,1.6,37.7,1.7,12.6,16.3,28.3,7.4,8.6,4.7,16.3,11.6,4.2,16.3,0.0,0.0,13.8,0.0,10.9,4.8,3.4,69.1,42.4,45.1,43.6,38.4,4.7,$588,"$1,348",$850,10104102305,0.5131,Rest of NSW,New South Wales,Capital Region,933.5412200350809
354,330.0,51.0%,53,16.0,2.3,"$1,237","$1,500",$300,1.6,34.9,4.0,14.4,12.9,36.7,10.4,5.4,3.2,18.0,9.4,7.2,17.3,0.0,0.0,16.2,0.0,14.4,4.6,2.8,70.9,43.9,48.2,47.5,41.8,4.9,$671,"$1,339","$1,237",10104102306,0.3362,Rest of NSW,New South Wales,Capital Region,981.5585960737657
355,329.0,51.8%,57,21.0,1.9,$765,"$1,408",$223,1.4,42.8,3.5,13.1,8.5,30.4,9.5,5.3,3.9,14.5,11.0,4.9,17.0,0.0,0.0,17.7,0.0,20.4,4.0,1.8,61.4,31.8,52.3,40.0,44.4,4.4,$480,$928,$765,10104102307,0.2642,Rest of NSW,New South Wales,Capital Region,1245.2687358062074
356,573.0,50.2%,48,36.0,2.2,$850,"$1,541",$229,1.6,30.3,4.0,15.4,7.9,43.3,5.5,5.1,2.0,15.2,8.8,5.7,18.5,0.0,0.0,17.1,0.9,11.5,3.8,3.0,65.6,36.3,51.4,42.4,39.4,12.7,$456,"$1,134",$850,10104102308,0.6865,Rest of NSW,New South Wales,Capital Region,834.6686088856519
357,327.0,52.6%,58,26.0,2,"$1,135","$1,600",$320,1.6,42.2,4.5,12.5,11.5,28.9,9.8,11.1,1.7,15.0,14.3,7.7,11.5,0.0,0.0,10.8,0.0,15.1,6.8,5.2,63.6,51.2,42.9,46.3,35.4,2.7,$602,"$1,442","$1,135",10104102309,0.6288,Rest of NSW,New South Wales,Capital Region,520.0381679389312
358,327.0,52.6%,58,26.0,2,"$1,135","$1,600",$320,1.6,42.2,4.5,12.5,11.5,28.9,9.8,11.1,1.7,15.0,14.3,7.7,11.5,0.0,0.0,10.8,0.0,15.1,6.8,5.2,63.6,51.2,42.9,46.3,35.4,2.7,$602,"$1,442","$1,135",10104102310,1.0625,Rest of NSW,New South Wales,Capital Region,307.7647058823529
359,309.0,45.2%,55,6.0,2.3,"$1,562","$1,222",$300,2.7,53.6,4.2,12.5,4.2,23.8,17.7,10.2,3.0,22.3,7.9,4.5,10.9,0.0,0.0,5.7,0.0,14.5,4.7,3.5,65.1,50.6,37.7,47.8,38.1,7.5,$771,"$1,916","$1,562",10104102401,245.4798,Rest of NSW,New South Wales,Capital Region,1.2587593765352587
360,312.0,47.5%,52,7.0,2.4,"$1,357","$1,517",$300,2.4,55.7,4.4,10.7,4.1,26.6,12.9,5.2,4.1,21.4,11.1,3.0,11.4,0.0,0.0,8.1,0.0,14.9,6.5,3.4,62.7,52.4,37.3,47.9,41.5,6.3,$736,"$1,553","$1,357",10104102402,662.2466,Rest of NSW,New South Wales,Capital Region,0.47112359655753616
361,249.0,46.9%,45,5.0,2.7,"$1,021","$1,300",$220,2.2,30.4,3.3,9.3,5.6,46.3,8.9,3.3,3.7,20.1,12.1,5.1,12.1,0.0,0.0,14.0,0.0,10.0,2.4,1.6,71.1,43.9,46.7,51.1,33.0,6.4,$475,"$1,375","$1,021",10104102403,1.7194,Rest of NSW,New South Wales,Capital Region,144.81795975340233
362,440.0,49.7%,47,8.0,2.6,"$1,642","$1,733",$325,2.7,46.3,2.2,13.9,5.5,34.1,12.5,10.2,3.9,20.5,10.5,4.4,13.3,0.0,0.0,7.2,0.0,10.8,8.0,4.6,65.9,56.0,33.2,45.5,42.1,4.0,$671,"$1,916","$1,642",10104102404,56.1405,Rest of NSW,New South Wales,Capital Region,7.837479181695923
